BUG-0010 | tools/test_kernel.py::test_a_bare_transition_cannot_mint_leased | pass | EVD-0284 | 3.3s | 1 passed in 1.09s
BUG-0014 | tools/test_repo_hygiene.py::test_a_suite_the_default_run_does_not_collect_is_named_with_its_own_run_command | pass | EVD-0285 | 2.1s | 1 passed in 0.39s
BUG-0016 | tools/test_hooks.py::test_handover_guard_blocks_product_code_write_under_marker tools/test_hooks.py::test_install_sh_places_every_hook_it_registers | pass | EVD-0286 | 7.7s | 1 skipped in 2.22s
BUG-0017 | tools/test_hooks.py::test_entry_restart_step_forbids_an_invented_trust_ceremony tools/test_hooks.py::test_handover_guard_blocks_the_scope_approval_askuserquestion_under_marker tools/test_report.py::test_the_headless_stop_point_is_measured_and_is_not_the_approval_gate | pass | EVD-0287 | 9.5s | 1 passed in 0.59s
BUG-0022 | tools/test_hooks.py::test_a_change_to_something_built_walks_the_CR_route_the_constitution_names | pass | EVD-0288 | 12.0s | 1 passed in 10.24s
BUG-0023 | tools/test_report.py::test_validate_names_a_stored_order_that_expects_nothing tools/test_state.py::test_a_work_order_that_expects_nothing_is_refused_at_both_entrances | pass | EVD-0289 | 5.0s | 1 passed in 0.60s
BUG-0026 | tools/test_migrate.py::test_an_oversized_record_shortened_too_little_earns_a_second_deposit_not_an_overwrite | pass | EVD-0290 | 4.6s | 1 passed in 2.74s
BUG-0027 | tools/test_migrate.py::test_the_ready_line_carries_the_flags_the_plan_was_built_with | pass | EVD-0291 | 4.7s | 1 passed in 3.06s
BUG-0031 | tools/test_handover_marker.py::test_an_entry_file_names_the_marker_only_as_the_whole_shim | pass | EVD-0292 | 2.0s | 2 passed in 0.28s
BUG-0034 | .claude/hooks/test_gates.py::test_gate3_refuses_a_line_that_records_history_even_with_a_verdict | pass | EVD-0293 | 26.1s | 20 passed in 24.48s
BUG-0037 | tools/test_report.py::test_the_trust_state_exits_on_a_bundle_that_matches_the_record_again | pass | EVD-0294 | 2.7s | 1 passed in 0.97s
BUG-0044 | tools/test_hooks.py::test_the_preset_an_entry_gate_writes_is_the_smallest_one_and_never_a_chosen_looking_value | pass | EVD-0295 | 4.0s | 1 passed in 2.25s
BUG-0046 | tools/test_role_contracts.py::test_no_constitution_promises_that_a_specialists_voice_stays_out_of_the_users_view | pass | EVD-0296 | 2.0s | 1 passed in 0.37s
BUG-0050 | tools/test_hooks.py::test_the_two_escape_classes_warn_and_product_questions_stay_quiet | pass | EVD-0297 | 4.4s | 6 passed in 2.67s
